"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"BEST4";-0,456232981342288;-0,469519623822055;-0,330042322950304;0,248693214662558;0,681590708367868
"SLC4A1AP";0,26317326924888;0,263432051421631;3,76698467016134;0,248695453622559;0,681590708367868
"EMG1";-0,264094644692838;-0,264251654445599;4,48983784999186;0,2487666012054;0,681590708367868
"TMEM167A";0,264938572379567;0,265028675868836;5,35885378452212;0,248783607918435;0,681590708367868
"AKR1C3";0,287995465387395;0,289796015896033;0,960877128520711;0,248815413755696;0,681590708367868
"ARHGAP8";-0,337202793897028;-0,338062322833018;2,33531511322281;0,248852510611641;0,681590708367868
"VDAC1";0,263226224853728;0,263381931925183;4,60254724844431;0,248943198969837;0,681699405333095
"RANBP6";-0,267366913127809;-0,26770530013383;3,50981748705686;0,249107107100339;0,682008519767131
"GM2A";0,264298390053528;0,264363015586984;6,07351034530232;0,249177483849432;0,682061488660969
"LINC00649";-0,265674110194697;-0,266041587550687;3,43103790850282;0,249363652668153;0,682431323006251
"KCNA10";0,790643640345839;0,85931184484377;-1,10905049947892;0,249456742563633;0,682546329806658
"PTPRM";-0,289780237892021;-0,292043069173723;1,06558022019866;0,24963133748616;0,68288425232092
"SOCS3";-0,315235416733734;-0,315866405507788;2,75651886827077;0,24972994320217;0,683014205205689
"CRADD";-0,262799200298097;-0,263119418248215;3,59006774977912;0,249869725619494;0,683180642800985
"LTK";-0,295017667779331;-0,295710792260446;2,59976458199185;0,249893024289542;0,683180642800985
"TOMM70A";0,262763438989163;0,263042036246249;3,61386618927152;0,250143674265261;0,683726042991715
"BRAF";-0,262918359312656;-0,262978780507836;5,94039090567553;0,250247043462728;0,683868735007732
"NACC2";-0,264635516001657;-0,264742813683099;4,91797607418077;0,250376097805618;0,684015711010701
"SAV1";-0,26271161350396;-0,262992039753541;3,80175266127953;0,250444342804424;0,684015711010701
"APEX2";0,262478889213811;0,262945158382697;3,06480185164671;0,250454353560255;0,684015711010701
"KDM4A-AS1";-0,509968699812403;-0,537025282041845;-0,848214758086597;0,250570174092521;0,684192226132919
"FAM207A";0,26286931801089;0,263351873470833;2,95368390595088;0,250736019149644;0,684457603586254
"LAGE3";0,270727577953233;0,271487619849928;2,40880120625802;0,250769780395173;0,684457603586254
"HSD3B7";-0,297857221316033;-0,299719756509029;1,24929174985893;0,250943395423803;0,684652566769625
